sub,role,trial,unfairness,choice,choice_RT
48,self,10,80,0,1.829
48,self,11,70,0,2.003
48,self,12,65,0,2.781
48,self,13,70,0,8.992
48,self,14,60,0,1.906
48,self,15,85,0,2.555
48,self,16,95,1,1.887
48,self,17,95,1,1.425
48,self,18,50,0,2.295
48,self,19,90,0,2.426
48,self,20,80,0,1.817
49,self,1,60,0,2.539
49,self,2,90,0,3.794
49,self,3,70,0,2.255
49,self,4,95,1,3.165
49,self,5,50,0,2.069
49,self,6,55,0,2.233
49,self,7,55,0,2.893
49,self,8,75,0,2.296
49,self,9,65,0,2.451
49,self,10,95,0,2.019
49,self,11,90,0,1.574
49,self,12,50,0,2.025
49,self,13,60,0,2.178
49,self,14,65,0,2.592
49,self,15,85,0,2.573
49,self,16,75,0,2.118
49,self,17,70,0,2.258
49,self,18,80,0,1.851
49,self,19,85,0,2.39
49,self,20,80,0,2.063
50,self,1,90,1,2.022
50,self,2,85,1,2.46
50,self,3,95,1,1.56
50,self,4,60,0,2.496
50,self,5,50,0,2.639
50,self,6,60,0,1.713
50,self,7,75,0,1.899
50,self,8,50,0,1.675
50,self,9,90,1,1.797
50,self,10,55,0,1.698
50,self,11,80,1,2.463
50,self,12,55,0,2.304
50,self,13,70,0,1.784
50,self,14,65,0,2.243
50,self,15,65,0,2.1
50,self,16,80,1,2.738
50,self,17,95,1,2.428
50,self,18,85,1,2.6
50,self,19,75,0,1.983
50,self,20,70,0,2.219
51,self,1,80,0,2.8
51,self,2,80,0,2.946
51,self,3,90,0,4.016
51,self,4,75,0,2.747
51,self,5,85,0,2.343
51,self,6,95,0,2.422
51,self,7,70,0,2.367
51,self,8,65,0,2.421
51,self,9,95,0,3.193
51,self,10,90,0,2.38
51,self,11,50,0,2.64
51,self,12,55,0,2.911
51,self,13,70,0,2.042
51,self,14,65,0,2.344
51,self,15,50,0,2.072
51,self,16,55,0,3.096
51,self,17,75,0,2.336
51,self,18,60,0,2.038
51,self,19,60,0,2.079
51,self,20,85,0,2.402
52,self,1,50,0,2.642
52,self,2,70,0,2.211
52,self,3,95,0,3.085
52,self,4,80,0,2.749
52,self,5,75,0,2.194
52,self,6,75,0,1.805
52,self,7,50,0,2.75
52,self,8,65,0,2.682
52,self,9,90,0,2.985
52,self,10,55,0,4.131
52,self,11,55,0,2.035
52,self,12,60,0,2.719
52,self,13,65,0,2.696
52,self,14,60,0,2.081
52,self,15,95,0,2.56
52,self,16,90,0,2.526
52,self,17,85,0,2.565
52,self,18,85,0,1.839
52,self,19,70,0,1.811
52,self,20,80,0,2.856
54,self,1,50,0,3.568
54,self,2,50,0,2.239
54,self,3,55,1,3.141
54,self,4,80,1,2.354
54,self,5,70,1,2.641
54,self,6,75,1,2.541
54,self,7,90,1,9.269
54,self,8,65,1,2.667
54,self,9,95,1,2.486
54,self,10,85,1,2.431
54,self,11,85,1,2.444
54,self,12,60,1,1.867
